title,artist,year,popularity,tags,phrases
Rising Track,Beatles,1973,97,"rock,pop,60s","rising,track,beatles"
Blue Anthem,Beatles,1968,87,"rock,pop,60s","blue,anthem,beatles"
Red Anthem,Beatles,1966,87,"rock,pop,60s","red,anthem,beatles"
Golden Anthem,Beatles,1970,87,"rock,pop,60s","golden,anthem,beatles"
Silver Anthem,Beatles,1965,85,"rock,pop,60s","silver,anthem,beatles"
Dark Anthem,Beatles,1968,93,"rock,pop,60s","dark,anthem,beatles"
Bright Anthem,Beatles,1968,94,"rock,pop,60s","bright,anthem,beatles"
Sweet Anthem,Beatles,1966,96,"rock,pop,60s","sweet,anthem,beatles"
Wild Anthem,Beatles,1974,88,"rock,pop,60s","wild,anthem,beatles"
Free Anthem,Beatles,1971,95,"rock,pop,60s","free,anthem,beatles"
Lost Anthem,Beatles,1968,91,"rock,pop,60s","lost,anthem,beatles"
Found Anthem,Beatles,1966,85,"rock,pop,60s","found,anthem,beatles"
True Anthem,Beatles,1971,97,"rock,pop,60s","true,anthem,beatles"
Faded Anthem,Beatles,1971,86,"rock,pop,60s","faded,anthem,beatles"
Shining Anthem,Beatles,1974,94,"rock,pop,60s","shining,anthem,beatles"
Burning Anthem,Beatles,1970,86,"rock,pop,60s","burning,anthem,beatles"
Rising Anthem,Beatles,1973,94,"rock,pop,60s","rising,anthem,beatles"
Blue Hit,Beatles,1969,86,"rock,pop,60s","blue,hit,beatles"
Red Hit,Beatles,1965,98,"rock,pop,60s","red,hit,beatles"
Golden Hit,Beatles,1968,97,"rock,pop,60s","golden,hit,beatles"
Silver Hit,Beatles,1971,98,"rock,pop,60s","silver,hit,beatles"
Dark Hit,Beatles,1968,85,"rock,pop,60s","dark,hit,beatles"
Bright Hit,Beatles,1965,88,"rock,pop,60s","bright,hit,beatles"
Sweet Hit,Beatles,1974,90,"rock,pop,60s","sweet,hit,beatles"
Wild Hit,Beatles,1970,87,"rock,pop,60s","wild,hit,beatles"
Free Hit,Beatles,1966,96,"rock,pop,60s","free,hit,beatles"
Lost Hit,Beatles,1967,85,"rock,pop,60s","lost,hit,beatles"
Found Hit,Beatles,1967,90,"rock,pop,60s","found,hit,beatles"
True Hit,Beatles,1974,93,"rock,pop,60s","true,hit,beatles"
Faded Hit,Beatles,1974,99,"rock,pop,60s","faded,hit,beatles"
Shining Hit,Beatles,1967,95,"rock,pop,60s","shining,hit,beatles"
Burning Hit,Beatles,1966,93,"rock,pop,60s","burning,hit,beatles"
Rising Hit,Beatles,1971,99,"rock,pop,60s","rising,hit,beatles"
Blue Tune,Beatles,1967,94,"rock,pop,60s","blue,tune,beatles"
Red Tune,Beatles,1965,97,"rock,pop,60s","red,tune,beatles"
Golden Tune,Beatles,1971,85,"rock,pop,60s","golden,tune,beatles"
Silver Tune,Beatles,1968,91,"rock,pop,60s","silver,tune,beatles"
Dark Tune,Beatles,1969,89,"rock,pop,60s","dark,tune,beatles"
Bright Tune,Beatles,1974,91,"rock,pop,60s","bright,tune,beatles"
Sweet Tune,Beatles,1967,89,"rock,pop,60s","sweet,tune,beatles"
Wild Tune,Beatles,1966,97,"rock,pop,60s","wild,tune,beatles"
Free Tune,Beatles,1967,99,"rock,pop,60s","free,tune,beatles"
Lost Tune,Beatles,1972,91,"rock,pop,60s","lost,tune,beatles"
Found Tune,Beatles,1968,88,"rock,pop,60s","found,tune,beatles"
True Tune,Beatles,1973,98,"rock,pop,60s","true,tune,beatles"
Faded Tune,Beatles,1966,96,"rock,pop,60s","faded,tune,beatles"
Shining Tune,Beatles,1969,94,"rock,pop,60s","shining,tune,beatles"
Burning Tune,Beatles,1969,89,"rock,pop,60s","burning,tune,beatles"
Rising Tune,Beatles,1966,97,"rock,pop,60s","rising,tune,beatles"
Satisfaction,The Rolling Stones,1979,80,"rock,blues,classic,70s","can't get no,satisfaction,trying"
Paint It Black,The Rolling Stones,1972,82,"rock,blues,classic,70s","paint it black,see red door,turn black"
Sympathy for the Devil,The Rolling Stones,1976,89,"rock,blues,classic,70s","sympathy,devil,pleased to meet you"
Gimme Shelter,The Rolling Stones,1966,95,"rock,blues,classic,70s","gimme shelter,war,kiss away"
Jumpin' Jack Flash,The Rolling Stones,1974,80,"rock,blues,classic,70s","jumping jack,gas gas,crossfire"
Start Me Up,The Rolling Stones,1979,91,"rock,blues,classic,70s","start me up,never stop,compete"
Angie,The Rolling Stones,1974,93,"rock,blues,classic,70s","angie,dreams,goodbye"
Wild Horses,The Rolling Stones,1969,97,"rock,blues,classic,70s","wild horses,drag me away,ride"
Brown Sugar,The Rolling Stones,1967,85,"rock,blues,classic,70s","brown sugar,taste,good"
Miss You,The Rolling Stones,1977,81,"rock,blues,classic,70s","miss you,waiting,dreams"
Blue Song,Rolling Stones,1970,83,"rock,blues,classic","blue,song,rolling stones"
Red Song,Rolling Stones,1967,80,"rock,blues,classic","red,song,rolling stones"
Golden Song,Rolling Stones,1966,95,"rock,blues,classic","golden,song,rolling stones"
Silver Song,Rolling Stones,1974,85,"rock,blues,classic","silver,song,rolling stones"
Dark Song,Rolling Stones,1968,92,"rock,blues,classic","dark,song,rolling stones"
Bright Song,Rolling Stones,1974,81,"rock,blues,classic","bright,song,rolling stones"
Sweet Song,Rolling Stones,1967,87,"rock,blues,classic","sweet,song,rolling stones"
Wild Song,Rolling Stones,1967,82,"rock,blues,classic","wild,song,rolling stones"
Free Song,Rolling Stones,1967,96,"rock,blues,classic","free,song,rolling stones"
Lost Song,Rolling Stones,1969,85,"rock,blues,classic","lost,song,rolling stones"
Found Song,Rolling Stones,1968,97,"rock,blues,classic","found,song,rolling stones"
True Song,Rolling Stones,1978,95,"rock,blues,classic","true,song,rolling stones"
Faded Song,Rolling Stones,1976,95,"rock,blues,classic","faded,song,rolling stones"
Shining Song,Rolling Stones,1969,81,"rock,blues,classic","shining,song,rolling stones"
Burning Song,Rolling Stones,1972,95,"rock,blues,classic","burning,song,rolling stones"
Rising Song,Rolling Stones,1975,82,"rock,blues,classic","rising,song,rolling stones"
Blue Track,Rolling Stones,1972,83,"rock,blues,classic","blue,track,rolling stones"
Red Track,Rolling Stones,1970,83,"rock,blues,classic","red,track,rolling stones"
Golden Track,Rolling Stones,1967,86,"rock,blues,classic","golden,track,rolling stones"
Silver Track,Rolling Stones,1978,91,"rock,blues,classic","silver,track,rolling stones"
Dark Track,Rolling Stones,1968,86,"rock,blues,classic","dark,track,rolling stones"
Bright Track,Rolling Stones,1975,92,"rock,blues,classic","bright,track,rolling stones"
Sweet Track,Rolling Stones,1970,91,"rock,blues,classic","sweet,track,rolling stones"
Wild Track,Rolling Stones,1967,97,"rock,blues,classic","wild,track,rolling stones"
Free Track,Rolling Stones,1975,97,"rock,blues,classic","free,track,rolling stones"
Lost Track,Rolling Stones,1971,80,"rock,blues,classic","lost,track,rolling stones"
Found Track,Rolling Stones,1971,83,"rock,blues,classic","found,track,rolling stones"
True Track,Rolling Stones,1975,85,"rock,blues,classic","true,track,rolling stones"
Faded Track,Rolling Stones,1974,96,"rock,blues,classic","faded,track,rolling stones"
Shining Track,Rolling Stones,1978,87,"rock,blues,classic","shining,track,rolling stones"
Burning Track,Rolling Stones,1979,95,"rock,blues,classic","burning,track,rolling stones"
Rising Track,Rolling Stones,1969,94,"rock,blues,classic","rising,track,rolling stones"
Blue Anthem,Rolling Stones,1975,84,"rock,blues,classic","blue,anthem,rolling stones"
Red Anthem,Rolling Stones,1973,90,"rock,blues,classic","red,anthem,rolling stones"
Golden Anthem,Rolling Stones,1966,93,"rock,blues,classic","golden,anthem,rolling stones"
Silver Anthem,Rolling Stones,1966,95,"rock,blues,classic","silver,anthem,rolling stones"
Dark Anthem,Rolling Stones,1969,95,"rock,blues,classic","dark,anthem,rolling stones"
Bright Anthem,Rolling Stones,1974,91,"rock,blues,classic","bright,anthem,rolling stones"
Sweet Anthem,Rolling Stones,1977,89,"rock,blues,classic","sweet,anthem,rolling stones"
Wild Anthem,Rolling Stones,1975,83,"rock,blues,classic","wild,anthem,rolling stones"
Free Anthem,Rolling Stones,1973,80,"rock,blues,classic","free,anthem,rolling stones"
Lost Anthem,Rolling Stones,1973,91,"rock,blues,classic","lost,anthem,rolling stones"
Found Anthem,Rolling Stones,1974,83,"rock,blues,classic","found,anthem,rolling stones"
True Anthem,Rolling Stones,1967,94,"rock,blues,classic","true,anthem,rolling stones"
Faded Anthem,Rolling Stones,1977,85,"rock,blues,classic","faded,anthem,rolling stones"
Shining Anthem,Rolling Stones,1966,88,"rock,blues,classic","shining,anthem,rolling stones"
Burning Anthem,Rolling Stones,1965,93,"rock,blues,classic","burning,anthem,rolling stones"
Rising Anthem,Rolling Stones,1973,97,"rock,blues,classic","rising,anthem,rolling stones"
Blue Hit,Rolling Stones,1967,91,"rock,blues,classic","blue,hit,rolling stones"
Red Hit,Rolling Stones,1976,97,"rock,blues,classic","red,hit,rolling stones"
Golden Hit,Rolling Stones,1976,93,"rock,blues,classic","golden,hit,rolling stones"
Silver Hit,Rolling Stones,1972,84,"rock,blues,classic","silver,hit,rolling stones"
Dark Hit,Rolling Stones,1970,82,"rock,blues,classic","dark,hit,rolling stones"
Bright Hit,Rolling Stones,1972,94,"rock,blues,classic","bright,hit,rolling stones"
Sweet Hit,Rolling Stones,1979,94,"rock,blues,classic","sweet,hit,rolling stones"
Wild Hit,Rolling Stones,1966,86,"rock,blues,classic","wild,hit,rolling stones"
Free Hit,Rolling Stones,1970,97,"rock,blues,classic","free,hit,rolling stones"
Lost Hit,Rolling Stones,1976,81,"rock,blues,classic","lost,hit,rolling stones"
Found Hit,Rolling Stones,1977,95,"rock,blues,classic","found,hit,rolling stones"
True Hit,Rolling Stones,1978,93,"rock,blues,classic","true,hit,rolling stones"
Faded Hit,Rolling Stones,1965,89,"rock,blues,classic","faded,hit,rolling stones"
Shining Hit,Rolling Stones,1975,82,"rock,blues,classic","shining,hit,rolling stones"
Burning Hit,Rolling Stones,1978,87,"rock,blues,classic","burning,hit,rolling stones"
Rising Hit,Rolling Stones,1975,89,"rock,blues,classic","rising,hit,rolling stones"
Blue Tune,Rolling Stones,1967,94,"rock,blues,classic","blue,tune,rolling stones"
Red Tune,Rolling Stones,1970,86,"rock,blues,classic","red,tune,rolling stones"
Golden Tune,Rolling Stones,1976,89,"rock,blues,classic","golden,tune,rolling stones"
Silver Tune,Rolling Stones,1974,93,"rock,blues,classic","silver,tune,rolling stones"
Dark Tune,Rolling Stones,1969,80,"rock,blues,classic","dark,tune,rolling stones"
Bright Tune,Rolling Stones,1968,93,"rock,blues,classic","bright,tune,rolling stones"
Sweet Tune,Rolling Stones,1977,87,"rock,blues,classic","sweet,tune,rolling stones"
Wild Tune,Rolling Stones,1977,82,"rock,blues,classic","wild,tune,rolling stones"
Free Tune,Rolling Stones,1969,85,"rock,blues,classic","free,tune,rolling stones"
Lost Tune,Rolling Stones,1967,87,"rock,blues,classic","lost,tune,rolling stones"
Found Tune,Rolling Stones,1979,85,"rock,blues,classic","found,tune,rolling stones"
True Tune,Rolling Stones,1970,97,"rock,blues,classic","true,tune,rolling stones"
Faded Tune,Rolling Stones,1974,82,"rock,blues,classic","faded,tune,rolling stones"
Shining Tune,Rolling Stones,1974,87,"rock,blues,classic","shining,tune,rolling stones"
Burning Tune,Rolling Stones,1972,97,"rock,blues,classic","burning,tune,rolling stones"
Rising Tune,Rolling Stones,1973,85,"rock,blues,classic","rising,tune,rolling stones"
Blue Number,Rolling Stones,1975,88,"rock,blues,classic","blue,number,rolling stones"
Red Number,Rolling Stones,1978,94,"rock,blues,classic","red,number,rolling stones"
Golden Number,Rolling Stones,1973,94,"rock,blues,classic","golden,number,rolling stones"
Silver Number,Rolling Stones,1968,89,"rock,blues,classic","silver,number,rolling stones"
Dark Number,Rolling Stones,1970,87,"rock,blues,classic","dark,number,rolling stones"
Bright Number,Rolling Stones,1979,92,"rock,blues,classic","bright,number,rolling stones"
Sweet Number,Rolling Stones,1971,93,"rock,blues,classic","sweet,number,rolling stones"
Wild Number,Rolling Stones,1974,93,"rock,blues,classic","wild,number,rolling stones"
Free Number,Rolling Stones,1974,90,"rock,blues,classic","free,number,rolling stones"
Lost Number,Rolling Stones,1966,87,"rock,blues,classic","lost,number,rolling stones"
Stairway to Heaven,Led Zeppelin,1977,88,"hard rock,blues,70s,classic","stairway,heaven,lady,glitter gold"
Kashmir,Led Zeppelin,1970,86,"hard rock,blues,70s,classic","kashmir,travel,desert"
Whole Lotta Love,Led Zeppelin,1969,97,"hard rock,blues,70s,classic","whole lotta,love,shake"
Black Dog,Led Zeppelin,1971,96,"hard rock,blues,70s,classic","black dog,hey hey,mama"
Rock and Roll,Led Zeppelin,1968,94,"hard rock,blues,70s,classic","rock and roll,been lonely,long time"
Immigrant Song,Led Zeppelin,1975,90,"hard rock,blues,70s,classic","immigrant,valhalla,calling"
Ramble On,Led Zeppelin,1976,99,"hard rock,blues,70s,classic","ramble on,mine is a tale,sing my song"
Dazed and Confused,Led Zeppelin,1974,98,"hard rock,blues,70s,classic","dazed,confused,so long"
Blue Song,Led Zeppelin,1975,92,"hard rock,blues,70s","blue,song,led zeppelin"
Red Song,Led Zeppelin,1976,85,"hard rock,blues,70s","red,song,led zeppelin"
Golden Song,Led Zeppelin,1977,86,"hard rock,blues,70s","golden,song,led zeppelin"
Silver Song,Led Zeppelin,1974,94,"hard rock,blues,70s","silver,song,led zeppelin"
Dark Song,Led Zeppelin,1976,90,"hard rock,blues,70s","dark,song,led zeppelin"
Bright Song,Led Zeppelin,1971,97,"hard rock,blues,70s","bright,song,led zeppelin"
Sweet Song,Led Zeppelin,1979,96,"hard rock,blues,70s","sweet,song,led zeppelin"
Wild Song,Led Zeppelin,1974,94,"hard rock,blues,70s","wild,song,led zeppelin"
Free Song,Led Zeppelin,1979,92,"hard rock,blues,70s","free,song,led zeppelin"
Lost Song,Led Zeppelin,1973,99,"hard rock,blues,70s","lost,song,led zeppelin"
Found Song,Led Zeppelin,1971,95,"hard rock,blues,70s","found,song,led zeppelin"
True Song,Led Zeppelin,1969,94,"hard rock,blues,70s","true,song,led zeppelin"
Faded Song,Led Zeppelin,1978,96,"hard rock,blues,70s","faded,song,led zeppelin"
Shining Song,Led Zeppelin,1974,85,"hard rock,blues,70s","shining,song,led zeppelin"
Burning Song,Led Zeppelin,1971,93,"hard rock,blues,70s","burning,song,led zeppelin"
Rising Song,Led Zeppelin,1973,99,"hard rock,blues,70s","rising,song,led zeppelin"
Blue Track,Led Zeppelin,1972,90,"hard rock,blues,70s","blue,track,led zeppelin"
Red Track,Led Zeppelin,1973,91,"hard rock,blues,70s","red,track,led zeppelin"
Golden Track,Led Zeppelin,1979,88,"hard rock,blues,70s","golden,track,led zeppelin"
Silver Track,Led Zeppelin,1973,86,"hard rock,blues,70s","silver,track,led zeppelin"
Dark Track,Led Zeppelin,1972,94,"hard rock,blues,70s","dark,track,led zeppelin"
Bright Track,Led Zeppelin,1979,90,"hard rock,blues,70s","bright,track,led zeppelin"
Sweet Track,Led Zeppelin,1974,92,"hard rock,blues,70s","sweet,track,led zeppelin"
Wild Track,Led Zeppelin,1972,90,"hard rock,blues,70s","wild,track,led zeppelin"
Free Track,Led Zeppelin,1979,95,"hard rock,blues,70s","free,track,led zeppelin"
Lost Track,Led Zeppelin,1973,95,"hard rock,blues,70s","lost,track,led zeppelin"
Found Track,Led Zeppelin,1971,93,"hard rock,blues,70s","found,track,led zeppelin"
True Track,Led Zeppelin,1968,86,"hard rock,blues,70s","true,track,led zeppelin"
Faded Track,Led Zeppelin,1971,97,"hard rock,blues,70s","faded,track,led zeppelin"
Shining Track,Led Zeppelin,1970,88,"hard rock,blues,70s","shining,track,led zeppelin"
Burning Track,Led Zeppelin,1975,88,"hard rock,blues,70s","burning,track,led zeppelin"
Rising Track,Led Zeppelin,1970,90,"hard rock,blues,70s","rising,track,led zeppelin"
Blue Anthem,Led Zeppelin,1973,94,"hard rock,blues,70s","blue,anthem,led zeppelin"
Red Anthem,Led Zeppelin,1979,91,"hard rock,blues,70s","red,anthem,led zeppelin"
Golden Anthem,Led Zeppelin,1978,97,"hard rock,blues,70s","golden,anthem,led zeppelin"
Silver Anthem,Led Zeppelin,1969,98,"hard rock,blues,70s","silver,anthem,led zeppelin"
Dark Anthem,Led Zeppelin,1976,96,"hard rock,blues,70s","dark,anthem,led zeppelin"
Bright Anthem,Led Zeppelin,1968,89,"hard rock,blues,70s","bright,anthem,led zeppelin"
Sweet Anthem,Led Zeppelin,1978,92,"hard rock,blues,70s","sweet,anthem,led zeppelin"
Wild Anthem,Led Zeppelin,1970,93,"hard rock,blues,70s","wild,anthem,led zeppelin"
Free Anthem,Led Zeppelin,1972,89,"hard rock,blues,70s","free,anthem,led zeppelin"
Lost Anthem,Led Zeppelin,1972,92,"hard rock,blues,70s","lost,anthem,led zeppelin"
Found Anthem,Led Zeppelin,1973,93,"hard rock,blues,70s","found,anthem,led zeppelin"
True Anthem,Led Zeppelin,1975,90,"hard rock,blues,70s","true,anthem,led zeppelin"
Faded Anthem,Led Zeppelin,1972,98,"hard rock,blues,70s","faded,anthem,led zeppelin"
Shining Anthem,Led Zeppelin,1970,89,"hard rock,blues,70s","shining,anthem,led zeppelin"
Burning Anthem,Led Zeppelin,1977,97,"hard rock,blues,70s","burning,anthem,led zeppelin"
Rising Anthem,Led Zeppelin,1970,92,"hard rock,blues,70s","rising,anthem,led zeppelin"
Blue Hit,Led Zeppelin,1976,88,"hard rock,blues,70s","blue,hit,led zeppelin"
Red Hit,Led Zeppelin,1974,99,"hard rock,blues,70s","red,hit,led zeppelin"
Golden Hit,Led Zeppelin,1978,88,"hard rock,blues,70s","golden,hit,led zeppelin"
Silver Hit,Led Zeppelin,1977,90,"hard rock,blues,70s","silver,hit,led zeppelin"
Dark Hit,Led Zeppelin,1976,96,"hard rock,blues,70s","dark,hit,led zeppelin"
Bright Hit,Led Zeppelin,1975,88,"hard rock,blues,70s","bright,hit,led zeppelin"
Sweet Hit,Led Zeppelin,1970,88,"hard rock,blues,70s","sweet,hit,led zeppelin"
Wild Hit,Led Zeppelin,1970,92,"hard rock,blues,70s","wild,hit,led zeppelin"
Free Hit,Led Zeppelin,1973,99,"hard rock,blues,70s","free,hit,led zeppelin"
Lost Hit,Led Zeppelin,1977,95,"hard rock,blues,70s","lost,hit,led zeppelin"
Found Hit,Led Zeppelin,1969,92,"hard rock,blues,70s","found,hit,led zeppelin"
True Hit,Led Zeppelin,1970,85,"hard rock,blues,70s","true,hit,led zeppelin"
Faded Hit,Led Zeppelin,1979,96,"hard rock,blues,70s","faded,hit,led zeppelin"
Shining Hit,Led Zeppelin,1979,87,"hard rock,blues,70s","shining,hit,led zeppelin"
Burning Hit,Led Zeppelin,1973,96,"hard rock,blues,70s","burning,hit,led zeppelin"
Rising Hit,Led Zeppelin,1972,94,"hard rock,blues,70s","rising,hit,led zeppelin"
Blue Tune,Led Zeppelin,1974,87,"hard rock,blues,70s","blue,tune,led zeppelin"
Red Tune,Led Zeppelin,1978,86,"hard rock,blues,70s","red,tune,led zeppelin"
Golden Tune,Led Zeppelin,1976,96,"hard rock,blues,70s","golden,tune,led zeppelin"
Silver Tune,Led Zeppelin,1974,95,"hard rock,blues,70s","silver,tune,led zeppelin"
Dark Tune,Led Zeppelin,1974,85,"hard rock,blues,70s","dark,tune,led zeppelin"
Bright Tune,Led Zeppelin,1971,99,"hard rock,blues,70s","bright,tune,led zeppelin"
Sweet Tune,Led Zeppelin,1974,86,"hard rock,blues,70s","sweet,tune,led zeppelin"
Wild Tune,Led Zeppelin,1973,90,"hard rock,blues,70s","wild,tune,led zeppelin"
Free Tune,Led Zeppelin,1968,95,"hard rock,blues,70s","free,tune,led zeppelin"
Lost Tune,Led Zeppelin,1974,92,"hard rock,blues,70s","lost,tune,led zeppelin"
Found Tune,Led Zeppelin,1972,87,"hard rock,blues,70s","found,tune,led zeppelin"
True Tune,Led Zeppelin,1979,99,"hard rock,blues,70s","true,tune,led zeppelin"
Faded Tune,Led Zeppelin,1972,92,"hard rock,blues,70s","faded,tune,led zeppelin"
Shining Tune,Led Zeppelin,1976,97,"hard rock,blues,70s","shining,tune,led zeppelin"
Burning Tune,Led Zeppelin,1978,97,"hard rock,blues,70s","burning,tune,led zeppelin"
Rising Tune,Led Zeppelin,1975,91,"hard rock,blues,70s","rising,tune,led zeppelin"
Blue Number,Led Zeppelin,1973,97,"hard rock,blues,70s","blue,number,led zeppelin"
Red Number,Led Zeppelin,1977,89,"hard rock,blues,70s","red,number,led zeppelin"
Golden Number,Led Zeppelin,1977,85,"hard rock,blues,70s","golden,number,led zeppelin"
Silver Number,Led Zeppelin,1975,91,"hard rock,blues,70s","silver,number,led zeppelin"
Dark Number,Led Zeppelin,1971,85,"hard rock,blues,70s","dark,number,led zeppelin"
Bright Number,Led Zeppelin,1971,88,"hard rock,blues,70s","bright,number,led zeppelin"
Sweet Number,Led Zeppelin,1976,89,"hard rock,blues,70s","sweet,number,led zeppelin"
Wild Number,Led Zeppelin,1977,86,"hard rock,blues,70s","wild,number,led zeppelin"
Free Number,Led Zeppelin,1978,91,"hard rock,blues,70s","free,number,led zeppelin"
Lost Number,Led Zeppelin,1974,98,"hard rock,blues,70s","lost,number,led zeppelin"
Found Number,Led Zeppelin,1969,94,"hard rock,blues,70s","found,number,led zeppelin"
True Number,Led Zeppelin,1971,86,"hard rock,blues,70s","true,number,led zeppelin"
Comfortably Numb,Pink Floyd,1968,86,"progressive rock,psychedelic,70s","comfortably numb,hello,child is grown"
Wish You Were Here,Pink Floyd,1980,89,"progressive rock,psychedelic,70s","wish you were here,two lost souls,fishbowl"
Time,Pink Floyd,1978,97,"progressive rock,psychedelic,70s","time,ticking away,moments,sun"
Money,Pink Floyd,1968,93,"progressive rock,psychedelic,70s","money,grab,good job,cash"
Another Brick in the Wall,Pink Floyd,1967,82,"progressive rock,psychedelic,70s","brick,wall,education,thought control"
Shine On You Crazy Diamond,Pink Floyd,1975,90,"progressive rock,psychedelic,70s","shine on,crazy diamond,syd"
Us and Them,Pink Floyd,1981,86,"progressive rock,psychedelic,70s","us and them,black,blue,who knows"
Brain Damage,Pink Floyd,1978,82,"progressive rock,psychedelic,70s","lunatic,grass,dark side,moon"
Blue Song,Pink Floyd,1974,93,"progressive rock,psychedelic,70s","blue,song,pink floyd"
Red Song,Pink Floyd,1969,93,"progressive rock,psychedelic,70s","red,song,pink floyd"
Golden Song,Pink Floyd,1973,85,"progressive rock,psychedelic,70s","golden,song,pink floyd"
Silver Song,Pink Floyd,1976,94,"progressive rock,psychedelic,70s","silver,song,pink floyd"
Dark Song,Pink Floyd,1977,95,"progressive rock,psychedelic,70s","dark,song,pink floyd"
Bright Song,Pink Floyd,1970,91,"progressive rock,psychedelic,70s","bright,song,pink floyd"
Sweet Song,Pink Floyd,1980,95,"progressive rock,psychedelic,70s","sweet,song,pink floyd"
Wild Song,Pink Floyd,1976,92,"progressive rock,psychedelic,70s","wild,song,pink floyd"
Free Song,Pink Floyd,1977,88,"progressive rock,psychedelic,70s","free,song,pink floyd"
Lost Song,Pink Floyd,1974,82,"progressive rock,psychedelic,70s","lost,song,pink floyd"
Found Song,Pink Floyd,1973,91,"progressive rock,psychedelic,70s","found,song,pink floyd"
True Song,Pink Floyd,1967,86,"progressive rock,psychedelic,70s","true,song,pink floyd"
Faded Song,Pink Floyd,1968,89,"progressive rock,psychedelic,70s","faded,song,pink floyd"
Shining Song,Pink Floyd,1977,83,"progressive rock,psychedelic,70s","shining,song,pink floyd"
Burning Song,Pink Floyd,1975,93,"progressive rock,psychedelic,70s","burning,song,pink floyd"
