title,artist,year,popularity,tags,phrases
"Rockstar",DaBaby ft. Roddy Ricch,2020,34,"hip-hop,2020s,braggadocio,trap","rockstar,brand new lamborghini,fuck a cop car"
"The Box",Roddy Ricch,2019,33,"hip-hop,trap,2010s,street","the box,pull up,out the lot,that's a lease"
"Circles",Post Malone,2019,32,"pop,hip-hop,2010s,melancholy","circles,we're going in circles,seasons change"
"Sunflower",Post Malone & Swae Lee,2018,31,"pop,hip-hop,2010s,movie","sunflower,you're a sunflower,needless to say"
"God's Plan",Drake,2018,30,"hip-hop,2010s,grateful,success","god's plan,she said do you love me,only partly"
"In My Feelings",Drake,2018,29,"hip-hop,2010s,dance,viral","in my feelings,kiki do you love me,riding"
"Nice for What",Drake,2018,28,"hip-hop,2010s,empowerment,bounce","nice for what,that's a real one,in your group"
"Hotline Bling",Drake,2015,27,"hip-hop,2010s,dance,phone","hotline bling,call me on my,cell phone"
"One Dance",Drake,2016,26,"pop,dancehall,2010s,global","one dance,got a hennessy in my hand"
"Work",Rihanna ft. Drake,2016,25,"pop,dancehall,2010s,caribbean","work,work,work,he said me haffi"
"Umbrella",Rihanna ft. Jay-Z,2007,24,"pop,r&b,2000s,rain","umbrella,when the sun shine,we shine together"
"We Found Love",Rihanna,2011,23,"pop,dance,2010s,euphoric","we found love,in a hopeless place,yellow diamonds"
"Diamonds",Rihanna,2012,22,"pop,2010s,motivational,shine","diamonds,shine bright like a diamond,beautiful like diamonds"
"Love the Way You Lie",Eminem ft. Rihanna,2010,21,"hip-hop,pop,2010s,toxic love","love the way you lie,just gonna stand there"
"Lose Yourself",Eminem,2002,20,"hip-hop,2000s,motivational,movie","lose yourself,one shot,do not miss,blow"
"Stan",Eminem ft. Dido,2000,19,"hip-hop,2000s,storytelling,obsession","stan,biggest fan,wrote you but still ain't calling"
"The Real Slim Shady",Eminem,2000,18,"hip-hop,2000s,controversial,identity","real slim shady,please stand up,imitating"
"Without Me",Eminem,2002,17,"hip-hop,2000s,comeback,confident","without me,guess who's back,nobody listens to techno"
"Crazy",Gnarls Barkley,2006,16,"pop,soul,2000s,mental health","crazy,remember when,I lost my mind"
"Hey Ya!",OutKast,2003,15,"hip-hop,pop,2000s,funk","hey ya,shake it,polaroid picture,alright"
"Ms. Jackson",OutKast,2000,14,"hip-hop,2000s,apology,relationship","ms jackson,I am for real,never meant"
"Hips Don't Lie",Shakira ft. Wyclef Jean,2006,13,"pop,latin,2000s,dance","hips don't lie,starting to feel,it's right"
"Crazy in Love",Beyoncé ft. Jay-Z,2003,12,"r&b,pop,2000s,horn sample","crazy in love,got me looking,so crazy right now"
"Single Ladies",Beyoncé,2008,11,"pop,r&b,2000s,empowerment","single ladies,put a ring on it,liked it"
"Halo",Beyoncé,2008,10,"pop,r&b,2000s,love","halo,everywhere I'm looking now,surrounded by your embrace"
"Formation",Beyoncé,2016,9,"r&b,2010s,empowerment,cultural","formation,I slay,okay ladies,let's get"
"Toxic",Britney Spears,2003,8,"pop,dance,2000s,seductive","toxic,I'm addicted to you,don't you know"
"...Baby One More Time",Britney Spears,1998,7,"pop,90s,teen,breakup","baby one more time,loneliness is killing me"
"Oops!... I Did It Again",Britney Spears,2000,6,"pop,2000s,playful,mistake","oops I did it again,played with your heart"
"I Kissed a Girl",Katy Perry,2008,5,"pop,2000s,experimental,controversial","kissed a girl,liked it,taste of her cherry chapstick"
"California Gurls",Katy Perry,2010,4,"pop,2010s,summer,west coast","california girls,unforgettable,daisy dukes bikinis on top"
"Firework",Katy Perry,2010,3,"pop,2010s,empowerment,explosive","firework,do you ever feel,plastic bag drifting"
"Dark Horse",Katy Perry ft. Juicy J,2013,2,"pop,hip-hop,2010s,warning","dark horse,so you wanna play,with magic"
"Teenage Dream",Katy Perry,2010,1,"pop,2010s,youth,nostalgia","teenage dream,you make me feel,like I'm living"
"Somebody That I Used to Know",Gotye ft. Kimberly,2011,95,"indie,2010s,breakup,haunting","somebody that I used to know,didn't have to cut"
"Call Me Maybe",Carly Rae Jepsen,2012,94,"pop,2010s,catchy,romance","call me maybe,hey I just met you,this is crazy"
"Gangnam Style",PSY,2012,93,"k-pop,2010s,viral,dance","gangnam style,oppan gangnam style,hey sexy lady"
"Happy",Pharrell Williams,2013,92,"pop,2010s,joy,uplifting","happy,clap along if you feel,happiness is the truth"
"Can't Stop the Feeling!",Justin Timberlake,2016,91,"pop,2010s,dance,movie","can't stop the feeling,got that sunshine,in my pocket"
"SexyBack",Justin Timberlake,2006,90,"pop,r&b,2000s,confident","sexyback,bringing sexy back,them other boys don't know"
"Cry Me a River",Justin Timberlake,2002,89,"pop,r&b,2000s,heartbreak","cry me a river,bridges were burned,now you say"
"Rock Your Body",Justin Timberlake,2003,88,"pop,r&b,2000s,dance","rock your body,don't be so quick,to walk away"
"My Love",Justin Timberlake ft. T.I.,2006,87,"pop,r&b,2000s,romantic","my love,ain't another woman,that could take your spot"
"Mirrors",Justin Timberlake,2013,86,"pop,2010s,love,reflection","mirrors,you're looking at me,I'm looking at you"
"What Goes Around... Comes Around",Justin Timberlake,2006,85,"pop,r&b,2000s,karma","what goes around comes around,hey girl,is he everything"
"Suit & Tie",Justin Timberlake ft. Jay-Z,2013,84,"pop,r&b,2010s,classy","suit and tie,let me show you,few things"
"Blurred Lines",Robin Thicke ft. T.I.,2013,83,"pop,r&b,2010s,controversial","blurred lines,know you want it,good girl"
"Get Lucky",Daft Punk ft. Pharrell,2013,82,"electronic,funk,2010s,disco","get lucky,we're up all night,to get lucky"
"One More Time",Daft Punk,2000,81,"electronic,2000s,dance,repetitive","one more time,celebrate,don't stop the dancing"
"Harder Better Faster Stronger",Daft Punk,2001,80,"electronic,2000s,robotic,work","harder better faster stronger,work it make it"
"Around the World",Daft Punk,1997,79,"electronic,90s,repetitive,global","around the world,around the world,around the world"
"Technologic",Daft Punk,2005,78,"electronic,2000s,technology,robotic","technologic,buy it use it,break it fix it"
"Digital Love",Daft Punk,2001,77,"electronic,2000s,romantic,dreamy","digital love,last night I had a dream"
"Something About Us",Daft Punk,2005,76,"electronic,2000s,intimate,soft","something about us,might not be,the right time"
"Instant Crush",Daft Punk ft. Julian Casablancas,2013,75,"electronic,2010s,longing,indie","instant crush,and I didn't understand,the way"
"Lose Control",Missy Elliott,2005,74,"hip-hop,r&b,2000s,dance","lose control,music make you,lose control"
"Work It",Missy Elliott,2002,73,"hip-hop,2000s,confident,innovative","work it,put your thing down,flip it and reverse"
"Get Ur Freak On",Missy Elliott,2001,72,"hip-hop,2000s,unique,eastern","get your freak on,copy me now,holla holla"
"The Rain (Supa Dupa Fly)",Missy Elliott,1997,71,"hip-hop,90s,innovative,weather","rain,supa dupa fly,can you stand"
"Pass That Dutch",Missy Elliott,2003,70,"hip-hop,2000s,party,dance","pass that dutch,missy be puttin it down"
"Gossip Folks",Missy Elliott,2003,69,"hip-hop,2000s,gossip,ludacris","gossip folks,on the floor,I hear dem"
"4 Minutes",Madonna ft. Justin Timberlake,2008,68,"pop,dance,2000s,urgent","4 minutes,to save the world,no hesitating"
"Hung Up",Madonna,2005,67,"pop,dance,2000s,disco sample","hung up,time goes by,so slowly"
"Music",Madonna,2000,66,"pop,dance,2000s,club","music,makes the people,come together"
"Ray of Light",Madonna,1998,65,"pop,electronic,90s,spiritual","ray of light,zephyr in the sky,at night"
"Material Girl",Madonna,1984,64,"pop,80s,materialism,attitude","material girl,living in a material world"
"Like a Virgin",Madonna,1984,63,"pop,80s,controversial,innocence","like a virgin,touched for the very first time"
"Vogue",Madonna,1990,62,"pop,dance,90s,ballroom","vogue,strike a pose,ladies with an attitude"
"Like a Prayer",Madonna,1989,61,"pop,80s,religious,choir","like a prayer,your voice can,take me there"
"Papa Don't Preach",Madonna,1986,60,"pop,80s,teenage pregnancy,father","papa don't preach,I'm in trouble deep"
"Express Yourself",Madonna,1989,59,"pop,80s,empowerment,self","express yourself,don't repress yourself,respect yourself"
"Borderline",Madonna,1983,58,"pop,80s,relationship,edge","borderline,feels like I'm,going to lose my mind"
"Holiday",Madonna,1983,57,"pop,80s,celebration,vacation","holiday,celebrate,it would be so nice"
"Into the Groove",Madonna,1985,56,"pop,80s,dance,movie","into the groove,get up and dance,to the music"
"Crazy for You",Madonna,1985,55,"pop,80s,romantic,movie","crazy for you,touch me once,and you'll know it's true"
"Open Your Heart",Madonna,1986,54,"pop,80s,love,invitation","open your heart,I'll make you love me"
"Who's That Girl",Madonna,1987,53,"pop,80s,mystery,movie","who's that girl,who's that girl,it's jess"
"Causing a Commotion",Madonna,1987,52,"pop,80s,trouble,dance","causing a commotion,causing a commotion,I've got"
"The Look of Love",Madonna,1987,51,"pop,80s,seductive,gaze","look of love,the look,the look of love"
"Cherish",Madonna,1989,50,"pop,80s,love,romantic","cherish,the thought of always,having you here by my side"
"Oh Father",Madonna,1989,49,"pop,80s,family,emotional","oh father,I have sinned,I have done you wrong"
"Keep It Together",Madonna,1990,48,"pop,90s,family,unity","keep it together,in the family,they're a testimony"
"Rescue Me",Madonna,1991,47,"pop,90s,plea,salvation","rescue me,from a world,that I never made"
"This Used to Be My Playground",Madonna,1992,46,"pop,90s,nostalgia,childhood","this used to be,my playground,this used to be"
"I'll Remember",Madonna,1994,45,"pop,90s,memory,movie","I'll remember,the strength that you gave me"
"Secret",Madonna,1994,44,"pop,90s,mystery,intimate","secret,something's coming over me,my baby's got a secret"
"Take a Bow",Madonna,1994,43,"pop,90s,applause,performance","take a bow,the night is over,this masquerade"
"You'll See",Madonna,1995,42,"pop,90s,prediction,empowerment","you'll see,you think that,you know me well"
"One More Chance",Madonna,1995,41,"pop,90s,opportunity,plea","one more chance,just give me,one more chance"
"You Must Love Me",Madonna,1996,40,"pop,90s,musical,love","you must love me,where do we go from here"
"Don't Cry for Me Argentina",Madonna,1996,39,"pop,musical,90s,political","don't cry for me argentina,the truth is I never left you"
"Another Suitcase in Another Hall",Madonna,1996,38,"pop,musical,90s,departure","another suitcase,in another hall,so what happens now"
"Rainbow High",Madonna,1996,37,"pop,musical,90s,ambition","rainbow high,I need to be,dazzling"
"As Time Goes By",Madonna,2012,36,"pop,2010s,jazz,classic","as time goes by,you must remember,this a kiss"
"Masterpiece",Madonna,2011,35,"pop,2010s,art,love","masterpiece,if you were,the Mona Lisa"
"Give Me All Your Luvin'",Madonna ft. M.I.A.,2012,34,"pop,2010s,cheerleader,collaboration","give me all your loving,L-U-V Madonna,Y-O-U you wanna"
"Turn Up the Radio",Madonna,2012,33,"pop,2010s,escape,music","turn up the radio,turn up the radio,don't ask me"
"Girl Gone Wild",Madonna,2012,32,"pop,2010s,liberation,wild","girl gone wild,good girls,they like it wild"
"Gang Bang",Madonna,2012,31,"pop,2010s,violent,metaphor","gang bang,shot my lover,in the head"
"I'm Addicted",Madonna,2012,30,"pop,2010s,addiction,obsession","I'm addicted,to all the things,you do"
"I Don't Give A",Madonna ft. Nicki Minaj,2012,29,"pop,hip-hop,2010s,attitude","I don't give a,I don't give a,I don't give"
"I'm a Sinner",Madonna,2012,28,"pop,2010s,confession,redemption","I'm a sinner,I like it,that way"
"Love Spent",Madonna,2012,27,"pop,2010s,financial,relationship","love spent,you had all of me,you wanted more"
"Some Girls",Madonna,2012,26,"pop,2010s,comparison,women","some girls,they like candy,and others"
"Superstar",Madonna,2012,25,"pop,2010s,fame,worship","superstar,ooh la la,you're my superstar"
"I Fucked Up",Madonna,2012,24,"pop,2010s,mistake,regret","I fucked up,I know I,let you down"
"B-Day Song",Madonna ft. M.I.A.,2012,23,"pop,hip-hop,2010s,birthday","b-day song,it's your birthday,sing a b-day song"
"Beautiful Killer",Madonna,2012,22,"pop,2010s,dangerous,attraction","beautiful killer,you're a,beautiful killer"
"I Want It All",Madonna,2012,21,"pop,2010s,greedy,desire","I want it all,you gave me such,a good time"
"Best Friend",Madonna,2012,20,"pop,2010s,friendship,loyalty","best friend,you're my,best friend"
"Falling Free",Madonna,2012,19,"pop,2010s,freedom,release","falling free,like a flower,opening"
"Nobody Knows Me",Madonna,2003,18,"pop,2000s,identity,mystery","nobody knows me,like you do,nobody knows"
"Nothing Fails",Madonna,2003,17,"pop,2000s,success,confidence","nothing fails,no more fear,nothing fails"
"Love Profusion",Madonna,2003,16,"pop,2000s,abundance,love","love profusion,don't wanna stop,the dance"
"Mother and Father",Madonna,2003,15,"pop,2000s,family,pain","mother and father,there was a time,I was happy"
"Intervention",Madonna,2003,14,"pop,2000s,help,addiction","intervention,divine intervention,I need divine"
"X-Static Process",Madonna,2003,13,"pop,2000s,static,technological","x-static process,I'm not myself,when you go quiet"
"Die Another Day",Madonna,2002,12,"pop,2000s,movie,bond","die another day,I guess I'll,die another day"
"American Life",Madonna,2003,11,"pop,2000s,critique,american","american life,I live the american dream"
"Hollywood",Madonna,2003,10,"pop,2000s,fame,illusion","hollywood,everybody comes to hollywood,they wanna make it"
"I'm So Stupid",Madonna,2003,9,"pop,2000s,self-criticism,mistake","I'm so stupid,cause I used to live,in a beautiful world"
I Want to Hold Your Hand,The Beatles,1963,95,"rock,pop,classic","love,romance,happy"
A Day in the Life,The Beatles,1967,94,"rock,psychedelic,experimental","dream,surreal,reflective"
My Girl,The Temptations,1964,91,"soul,r&b,classic","love,romance,sweet"
Light My Fire,The Doors,1967,90,"rock,psychedelic,classic","passion,intense,fire"
I Heard It Through the Grapevine,Marvin Gaye,1968,91,"soul,r&b,classic","heartbreak,betrayal,sad"
Suspicious Minds,Elvis Presley,1969,89,"rock,pop,classic","doubt,relationship,tension"
Superstition,Stevie Wonder,1972,92,"funk,soul,r&b","groove,funky,rhythm"
Bridge Over Troubled Water,Simon & Garfunkel,1970,93,"folk,pop,ballad","support,comfort,friendship"
What's Going On,Marvin Gaye,1971,92,"soul,r&b,political","peace,justice,awareness"
Every Breath You Take,The Police,1983,91,"rock,pop,new wave","watching,obsession,love"
Purple Rain,Prince,1984,95,"rock,pop,ballad","emotional,rain,dramatic"
Livin' on a Prayer,Bon Jovi,1986,92,"rock,anthem,80s","hope,struggle,determination"
Take On Me,a-ha,1985,90,"pop,synth-pop,80s","upbeat,energetic,synth"
Girls Just Want to Have Fun,Cyndi Lauper,1983,89,"pop,dance,80s","fun,freedom,celebration"
Wonderwall,Oasis,1995,93,"rock,britpop,alternative","hope,support,love"
Black Hole Sun,Soundgarden,1994,89,"grunge,rock,alternative","dark,surreal,melancholy"
No Scrubs,TLC,1999,88,"r&b,pop,hip-hop","standards,confidence,empowerment"
Wannabe,Spice Girls,1996,89,"pop,dance,90s","friendship,fun,energetic"
Enter Sandman,Metallica,1991,91,"metal,hard rock,heavy","dark,powerful,intense"
Crazy in Love,Beyoncé feat. Jay-Z,2003,94,"r&b,pop,hip-hop","love,passion,energetic"
Umbrella,Rihanna feat. Jay-Z,2007,91,"pop,r&b,dance","support,protection,rain"
Poker Face,Lady Gaga,2008,90,"pop,dance,electronic","mystery,confidence,game"
Rehab,Amy Winehouse,2006,89,"soul,r&b,jazz","defiance,struggle,honest"
Seven Nation Army,The White Stripes,2003,91,"rock,garage rock,alternative","powerful,anthem,march"
Mr. Brightside,The Killers,2003,93,"rock,alternative,indie","jealousy,passion,energetic"
Use Somebody,Kings of Leon,2008,88,"rock,alternative,indie","longing,connection,emotional"
Viva la Vida,Coldplay,2008,90,"rock,alternative,orchestral","rise,fall,historical"
Beautiful Day,U2,2000,89,"rock,alternative,uplifting","hope,optimism,beautiful"
Get Lucky,Daft Punk feat. Pharrell Williams,2013,91,"electronic,funk,dance","groove,dance,fun"
Uptown Funk,Mark Ronson feat. Bruno Mars,2014,94,"funk,pop,dance","upbeat,party,groove"
Old Town Road,Lil Nas X feat. Billy Ray Cyrus,2019,92,"hip-hop,country,trap","country,cowboy,fun"
Radioactive,Imagine Dragons,2012,90,"rock,alternative,electronic","power,awakening,intense"
Levitating,Dua Lipa feat. DaBaby,2020,92,"pop,disco,dance","upbeat,fun,disco"
Flowers,Miley Cyrus,2023,92,"pop,disco,empowerment","self-love,independence,strong"
Vampire,Olivia Rodrigo,2023,88,"pop,ballad,dramatic","betrayal,dramatic,emotional"
Kill Bill,SZA,2022,87,"r&b,alternative,dark","revenge,dark,emotional"
Another One Bites the Dust,Queen,1980,94,"rock,funk,bass","bass line,bites the dust,funk"
Under Pressure,Queen & David Bowie,1981,93,"rock,collaboration,pressure","pressure,collaboration,intense"
I Want to Break Free,Queen,1984,91,"rock,pop,freedom","break free,freedom,liberation"
Radio Ga Ga,Queen,1984,90,"rock,pop,radio","radio,nostalgia,media"
Killer Queen,Queen,1974,92,"rock,glam,sophisticated","killer queen,sophisticated,champagne"
Don't Stop Me Now,Queen,1978,94,"rock,upbeat,energetic","good time,having fun,energetic"
Somebody to Love,Queen,1976,93,"rock,gospel,soul","somebody to love,longing,gospel"
Crazy Little Thing Called Love,Queen,1979,91,"rock,rockabilly,love","crazy,love,rockabilly"
The Show Must Go On,Queen,1991,92,"rock,ballad,defiance","show must go on,defiance,powerful"
Who Wants to Live Forever,Queen,1986,90,"rock,ballad,orchestral","live forever,immortal,eternal"
Love of My Life,Queen,1975,91,"rock,ballad,love","love of my life,heartbreak,beautiful"
Fat Bottomed Girls,Queen,1978,88,"rock,humorous,upbeat","fat bottomed,bicycle,fun"
Bicycle Race,Queen,1978,87,"rock,quirky,bicycle","bicycle,quirky,fun"
You're My Best Friend,Queen,1975,89,"rock,pop,friendship","best friend,love,warm"
Tie Your Mother Down,Queen,1976,86,"hard rock,heavy,energetic","tie down,rock,heavy"
Good Old-Fashioned Lover Boy,Queen,1977,85,"rock,vintage,charm","lover boy,charm,old fashioned"
Spread Your Wings,Queen,1977,84,"rock,ballad,inspirational","spread wings,fly away,freedom"
Keep Yourself Alive,Queen,1973,86,"rock,debut,energetic","keep alive,survive,rock"
Kashmir,Led Zeppelin,1975,95,"rock,epic,eastern","kashmir,journey,epic"
Black Dog,Led Zeppelin,1971,93,"hard rock,blues,riff","black dog,riff,powerful"
Rock and Roll,Led Zeppelin,1971,92,"rock,energetic,classic","rock and roll,energetic,classic"
Immigrant Song,Led Zeppelin,1970,93,"rock,viking,powerful","vikings,battle,powerful"
Whole Lotta Love,Led Zeppelin,1969,95,"rock,blues,classic","whole lotta,desire,riff"
Ramble On,Led Zeppelin,1969,89,"rock,fantasy,rambling","ramble,tolkien,journey"
Dazed and Confused,Led Zeppelin,1968,92,"rock,psychedelic,dark","dazed,confused,dark"
Communication Breakdown,Led Zeppelin,1968,91,"rock,fast,communication","breakdown,communication,fast"
The Rain Song,Led Zeppelin,1973,88,"rock,ballad,rain","rain,love,emotional"
Over the Hills and Far Away,Led Zeppelin,1973,90,"rock,acoustic,journey","hills,journey,adventure"
D'yer Mak'er,Led Zeppelin,1973,85,"rock,reggae,experimental","reggae,love,jamaica"
No Quarter,Led Zeppelin,1973,89,"rock,atmospheric,keyboard","no quarter,atmospheric,journey"
Trampled Under Foot,Led Zeppelin,1975,87,"rock,funk,groove","trampled,groove,funk"
In My Time of Dying,Led Zeppelin,1975,88,"blues,rock,spiritual","dying,blues,spiritual"
Ten Years Gone,Led Zeppelin,1975,86,"rock,emotional,retrospective","years gone,loss,reflection"
Achilles Last Stand,Led Zeppelin,1976,89,"rock,epic,complex","achilles,epic,journey"
Nobody's Fault but Mine,Led Zeppelin,1976,85,"blues,rock,gospel","nobody's fault,blues,gospel"
All My Love,Led Zeppelin,1979,89,"rock,ballad,love","love,loss,dedication"
In the Evening,Led Zeppelin,1979,84,"rock,blues,atmospheric","evening,blues,atmospheric"
Fool in the Rain,Led Zeppelin,1979,87,"rock,rain,latin","fool,rain,latin"
Wish You Were Here,Pink Floyd,1975,96,"rock,progressive,emotional","wish you here,absence,longing"
Time,Pink Floyd,1973,95,"progressive,rock,philosophical","time,clocks,mortality"
Us and Them,Pink Floyd,1973,92,"progressive,rock,atmospheric","us and them,division,society"
Shine On You Crazy Diamond,Pink Floyd,1975,94,"progressive,rock,tribute","shine on,syd barrett,tribute"
